"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 11:58:16 GMT 2024","Mon Sep 30 11:58:17 GMT 2024","522","","Endpoint de listar usuário","","br.com.dbccompany.vemser.tests.usuario.ListarUsuarioTest","testDeveListarDadosUsuarioLogado","Cenário 4: Deve listar os dados do usuário logado",""
"broken","Mon Sep 30 11:58:17 GMT 2024","Mon Sep 30 11:58:17 GMT 2024","472","","Endpoint de listagem de inscrições","","br.com.dbccompany.vemser.tests.inscricao.ListarInscricaoTest","testListarInscricoesComSucesso","Cenário 1: Deve retornar 200 quando lista inscrições com sucesso",""
"failed","Mon Sep 30 11:58:23 GMT 2024","Mon Sep 30 11:58:23 GMT 2024","0","","Endpoint de remoção de formulário","","br.com.dbccompany.vemser.tests.formulario.DeletarFormularioTest","","Endpoint de remoção de formulário",""
"broken","Mon Sep 30 11:57:46 GMT 2024","Mon Sep 30 11:57:46 GMT 2024","330","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testValidarContratoCadastrarCandidatos","Cenário 2: Deve validar o contrato de cadastro de candidatos no sistema",""
"broken","Mon Sep 30 11:58:25 GMT 2024","Mon Sep 30 11:58:25 GMT 2024","253","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComEmailSemDominio","Cenário 11: Deve retornar 400 quando tenta cadastrar candidato com e-mail sem domínio",""
"failed","Mon Sep 30 11:58:18 GMT 2024","Mon Sep 30 11:58:18 GMT 2024","294","","Endpoint de listar disponibilidades","","br.com.dbccompany.vemser.tests.disponibilidade.ListarDisponibilidadesTest","testListarDisponibilidadeComSucesso","Cenário 2: Validar listar disponibilidade com sucesso",""
"failed","Mon Sep 30 11:58:18 GMT 2024","Mon Sep 30 11:58:19 GMT 2024","415","","Endpoint de cadastrar disponibilidade","","br.com.dbccompany.vemser.tests.disponibilidade.CadastrarDisponibilidadeTest","testTentarCriarDisponibilidadeParaDataNoPassado","Cenário 4: Tentar criar disponibilidade para data no passado",""
"broken","Mon Sep 30 11:58:25 GMT 2024","Mon Sep 30 11:58:25 GMT 2024","274","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComSucesso","Cenário 1: Deve retornar 200 e cadastrar candidato com sucesso",""
"failed","Mon Sep 30 11:58:20 GMT 2024","Mon Sep 30 11:58:20 GMT 2024","269","","Endpoint de delete fisico de candidato","","br.com.dbccompany.vemser.tests.candidato.DeleteFisiscoCandidatoTest","testDeletarFisicoDeCandidatoComIDInvalido","Cenário 3: Deve retornar 400 ao deletar candidato com id invalido",""
"failed","Mon Sep 30 11:58:16 GMT 2024","Mon Sep 30 11:58:17 GMT 2024","365","","Endpoint de atualização de candidato","","br.com.dbccompany.vemser.tests.candidato.AtualizarCandidatoTest","testAtualizarCandidatoSemAutenticacao","Cenário 2: Deve retornar 403 ao atualizar candidato sem autenticação",""
"broken","Mon Sep 30 11:58:15 GMT 2024","Mon Sep 30 11:58:15 GMT 2024","668","","Endpoint de marcação de entrevista","","br.com.dbccompany.vemser.tests.entrevista.CadastrarEntrevistaTest","testCadastrarEntrevistaSemAutenticacao","Cenário 1: Deve retornar 403 ao cadastrar entrevista sem autenticação",""
"broken","Mon Sep 30 11:58:20 GMT 2024","Mon Sep 30 11:58:21 GMT 2024","285","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComPcdNulo","Cenário 28: Deve retornar 400 quando tenta cadastrar candidato com pcd nulo",""
"broken","Mon Sep 30 11:58:24 GMT 2024","Mon Sep 30 11:58:24 GMT 2024","265","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComAtivoEmBranco","Cenário 31: Deve retornar 400 quando tenta cadastrar candidato com ativo em branco",""
"failed","Mon Sep 30 11:58:16 GMT 2024","Mon Sep 30 11:58:16 GMT 2024","268","","Endpoint de atualizar observação de entrevista por ID","","br.com.dbccompany.vemser.tests.entrevista.AtualizarObservacaoEntrevistaPorIdTest","testAtualizarObservacaoEntrevistaPorID","Cenário 1: Deve retornar 204 ao atualizar entrevista por id",""
"failed","Mon Sep 30 11:58:19 GMT 2024","Mon Sep 30 11:58:19 GMT 2024","334","","Endpoint de busca de candidato por Email","","br.com.dbccompany.vemser.tests.candidato.BuscarCandidatoPorEmailTest","testBuscarCandidatoPorEmailComSucesso","Cenário 1: Deve retornar 200 quando busca candidato por email com sucesso",""
"failed","Mon Sep 30 11:58:19 GMT 2024","Mon Sep 30 11:58:19 GMT 2024","275","","Endpoint de busca de candidato por Email","","br.com.dbccompany.vemser.tests.candidato.BuscarCandidatoPorEmailTest","testBuscarCandidatoPorEmailSemAutenticacao","Cenário 3: Deve retornar 403 quando busca candidato por email sem autenticação",""
"broken","Mon Sep 30 11:58:25 GMT 2024","Mon Sep 30 11:58:25 GMT 2024","443","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComEmailJaCadastrado","Cenário 13: Deve retornar 400 quando tenta cadastrar candidato com e-mail já cadastrado na mesma edição",""
"failed","Mon Sep 30 11:58:13 GMT 2024","Mon Sep 30 11:58:16 GMT 2024","3017","","Endpoint de listar disponibilidades","","br.com.dbccompany.vemser.tests.disponibilidade.ListarDisponibilidadesTest","testDeveListarTodaDisponibilidadePorDataComSucesso","Cenário 3: Deve listar toda disponibilidade por data com sucesso",""
