"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 14:07:00 GMT 2024","Mon Sep 30 14:07:01 GMT 2024","521","","Endpoint de cadastrar disponibilidade","","br.com.dbccompany.vemser.tests.disponibilidade.CadastrarDisponibilidadeTest","testTentarCriarDisponibilidadeParaHorarioJaAgendado","Cenário 5: Tentar criar disponibilidade para data e horário já marcado",""
"failed","Mon Sep 30 14:06:59 GMT 2024","Mon Sep 30 14:07:00 GMT 2024","660","","Endpoint de cadastrar disponibilidade","","br.com.dbccompany.vemser.tests.disponibilidade.CadastrarDisponibilidadeTest","testCriarDisponibilidadeComSucesso","Cenário 2: Validar criar disponibilidade com sucesso",""
"failed","Mon Sep 30 14:07:01 GMT 2024","Mon Sep 30 14:07:01 GMT 2024","380","","Endpoint de listar usuário","","br.com.dbccompany.vemser.tests.usuario.ListarUsuarioTest","testTentarListarGestorComIdNegativo","Cenário 6: Tentar listar gestor com id negativo",""
"failed","Mon Sep 30 14:07:02 GMT 2024","Mon Sep 30 14:07:02 GMT 2024","557","","Endpoint para emissão de relatório de edições","","br.com.dbccompany.vemser.tests.relatorio.RelatorioEdicaoTest","testListarRelatorioEdicaoComSucessoSemAutenticacao","Cenário 3: Deve retornar 403 ao listar relatório de candidato por edição sem autenticação",""
"failed","Mon Sep 30 14:06:57 GMT 2024","Mon Sep 30 14:06:58 GMT 2024","364","","Endpoint de atualizar observação de entrevista por ID","","br.com.dbccompany.vemser.tests.entrevista.AtualizarObservacaoEntrevistaPorIdTest","testAtualizarObservacaoEntrevistaPorID","Cenário 1: Deve retornar 204 ao atualizar entrevista por id",""
"failed","Mon Sep 30 14:07:04 GMT 2024","Mon Sep 30 14:07:04 GMT 2024","630","","Endpoint para emissão de relatório de estados","","br.com.dbccompany.vemser.tests.relatorio.RelatorioEstadoTest","testListarRelatorioEstadoComSucesso","Cenário 2: Deve retornar 200 ao listar com sucesso relatório de candidatos por estado",""
"failed","Mon Sep 30 14:06:57 GMT 2024","Mon Sep 30 14:06:58 GMT 2024","687","","Endpoint de listagem de entrevistas","","br.com.dbccompany.vemser.tests.entrevista.ListarEntrevistaTest","testListarEntrevistasCadastradasComSucesso","Cenário 2: Deve retornar 200 quando lista as entrevistas cadastradas com sucesso",""
"broken","Mon Sep 30 14:06:59 GMT 2024","Mon Sep 30 14:06:59 GMT 2024","0","","Endpoint de filtro de inscrição","","br.com.dbccompany.vemser.tests.inscricao.FiltroInscricaoTest","","Endpoint de filtro de inscrição",""
"broken","Mon Sep 30 14:07:05 GMT 2024","Mon Sep 30 14:07:06 GMT 2024","481","","Endpoint de cadastrar status candidato next","","br.com.dbccompany.vemser.tests.status.CadastrarStatusCandidatoNextTest","testCadastrarStatusNextSemAutenticacao","Cenário 3: Validar criação de status candidato next sem estar autenticado",""
"broken","Mon Sep 30 14:06:12 GMT 2024","Mon Sep 30 14:06:12 GMT 2024","459","","Endpoint de cadastrar trilhas","","br.com.dbccompany.vemser.tests.trilha.CadastrarTrilhaTest","testValidarContratoCadastrarTrilha","Cenário 1: Validação de contrato de cadastrar trilha",""
"failed","Mon Sep 30 14:07:00 GMT 2024","Mon Sep 30 14:07:00 GMT 2024","452","","Endpoint de cadastrar disponibilidade","","br.com.dbccompany.vemser.tests.disponibilidade.CadastrarDisponibilidadeTest","testTentarCriarDisponibilidadeParaDataNoPassado","Cenário 4: Tentar criar disponibilidade para data no passado",""
"broken","Mon Sep 30 14:06:13 GMT 2024","Mon Sep 30 14:06:14 GMT 2024","491","","Endpoint de cadastrar status candidato next","","br.com.dbccompany.vemser.tests.status.CadastrarStatusCandidatoNextTest","testValidarContratoCadastrarStatusNext","Cenário 1: Validar contrato de criar status candidato next",""
"broken","Mon Sep 30 14:07:06 GMT 2024","Mon Sep 30 14:07:06 GMT 2024","282","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComCpfInvalido","Cenário 22: Deve retornar 400 quando tenta cadastrar candidato com cpf inválido",""
"passed","Mon Sep 30 14:06:55 GMT 2024","Mon Sep 30 14:06:56 GMT 2024","532","","Endpoint que lista a última edição","","br.com.dbccompany.vemser.tests.edicao.ListarUltimaEdicaoTest","testListarUltimaEdicaoSemAutenticacao","Cenário 2: Deve retornar 403 ao listar a última edição sem autenticação",""
"broken","Mon Sep 30 14:06:13 GMT 2024","Mon Sep 30 14:06:13 GMT 2024","487","","Endpoint de cadastrar status candidato previus","","br.com.dbccompany.vemser.tests.status.CadastrarStatusCandidatoPreviusTest","testValidarContratoCadastrarStatusPrevius","Cenário 1: Validar contrato de criar status candidato previus",""
"broken","Mon Sep 30 14:07:00 GMT 2024","Mon Sep 30 14:07:01 GMT 2024","478","","Endpoint de busca de candidato por Email","","br.com.dbccompany.vemser.tests.candidato.BuscarCandidatoPorEmailTest","testBuscarCandidatoPorEmailSemAutenticacao","Cenário 3: Deve retornar 403 quando busca candidato por email sem autenticação",""
"broken","Mon Sep 30 14:07:05 GMT 2024","Mon Sep 30 14:07:06 GMT 2024","561","","Endpoint de cadastrar status candidato next","","br.com.dbccompany.vemser.tests.status.CadastrarStatusCandidatoNextTest","testAvancarEtapaProvaTecnica","Cenário 5: Validar avanço de etapa do candidato para prova técnica",""
"failed","Mon Sep 30 14:06:57 GMT 2024","Mon Sep 30 14:06:58 GMT 2024","325","","Endpoint de deletar trilhas","","br.com.dbccompany.vemser.tests.trilha.DeletarTrilhaTest","testDeletarTrilhaComSucesso","Cenário 1: Deve retornar 204 quando deleta trilha com sucesso",""
"failed","Mon Sep 30 14:07:00 GMT 2024","Mon Sep 30 14:07:00 GMT 2024","245","","Endpoint de listar usuário","","br.com.dbccompany.vemser.tests.usuario.ListarUsuarioTest","testTentarListarGestorPorIdComTokenInvalido","Cenário 8: Tentar listar gestor por id com token inválido",""
"broken","Mon Sep 30 14:06:52 GMT 2024","Mon Sep 30 14:06:53 GMT 2024","473","","Endpoint de listagem de inscrições","","br.com.dbccompany.vemser.tests.inscricao.ListarInscricaoTest","testListarInscricoesComSucesso","Cenário 1: Deve retornar 200 quando lista inscrições com sucesso",""
"failed","Mon Sep 30 14:06:13 GMT 2024","Mon Sep 30 14:06:14 GMT 2024","696","","Endpoint para emissão de relatório de neurodiversidade","","br.com.dbccompany.vemser.tests.relatorio.RelatorioNeurodiversidadeTest","testValidarContratoListarRelatoriosPorNeurodiversidade","Cenário 1: Validação de contrato de listar relatórios por neurodiversidade",""
"broken","Mon Sep 30 14:07:07 GMT 2024","Mon Sep 30 14:07:07 GMT 2024","470","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testCadastrarCandidatoComSucesso","Cenário 1: Deve retornar 200 e cadastrar candidato com sucesso",""
"failed","Mon Sep 30 14:07:05 GMT 2024","Mon Sep 30 14:07:05 GMT 2024","0","","Endpoint de remoção de formulário","","br.com.dbccompany.vemser.tests.formulario.DeletarFormularioTest","","Endpoint de remoção de formulário",""
"failed","Mon Sep 30 14:06:55 GMT 2024","Mon Sep 30 14:06:55 GMT 2024","477","","Endpoint de atualização de nota de corte","","br.com.dbccompany.vemser.tests.edicao.AtualizarNotaDeCorteTest","testAtualizarNotaDeCorteNegativa","Cenário 5: Deve retornar 400 ao tentar atualizar nota de corte com valor negativo",""
"failed","Mon Sep 30 14:06:48 GMT 2024","Mon Sep 30 14:06:52 GMT 2024","3359","","Endpoint de listar disponibilidades","","br.com.dbccompany.vemser.tests.disponibilidade.ListarDisponibilidadesTest","testDeveListarTodaDisponibilidadePorDataComSucesso","Cenário 3: Deve listar toda disponibilidade por data com sucesso",""
"failed","Mon Sep 30 14:07:02 GMT 2024","Mon Sep 30 14:07:03 GMT 2024","735","","Endpoint para emissão de relatório de neurodiversidade","","br.com.dbccompany.vemser.tests.relatorio.RelatorioNeurodiversidadeTest","testListarRelatorioNeurodiversidadeComSucesso","Cenário 2: Deve retornar 200 ao retornar relatório com quantidade de candidatos com neurodiversidade com sucesso",""
"broken","Mon Sep 30 14:06:12 GMT 2024","Mon Sep 30 14:06:13 GMT 2024","392","","Endpoint de cadastro de candidato","","br.com.dbccompany.vemser.tests.candidato.CadastrarCandidatoTest","testValidarContratoCadastrarCandidatos","Cenário 2: Deve validar o contrato de cadastro de candidatos no sistema",""
"failed","Mon Sep 30 14:06:13 GMT 2024","Mon Sep 30 14:06:14 GMT 2024","694","","Endpoint para emissão de relatório de edições","","br.com.dbccompany.vemser.tests.relatorio.RelatorioEdicaoTest","testValidarContratoListarRelatoriosPorEdicao","Cenário 1: Validação de contrato de listar relatórios por edição",""
"failed","Mon Sep 30 14:06:59 GMT 2024","Mon Sep 30 14:06:59 GMT 2024","322","","Endpoint de deletar usuário","","br.com.dbccompany.vemser.tests.usuario.DeletarUsuarioTest","testTentarDeletarGestorComIdNegativo","Cenário 2: tentar deletar gestor com id negativo",""
"broken","Mon Sep 30 14:06:56 GMT 2024","Mon Sep 30 14:06:57 GMT 2024","747","","Endpoint de listagem de entrevistas por email","","br.com.dbccompany.vemser.tests.entrevista.ListarEntrevistaPorEmailTest","testListaEntrevistaPorEmailSemAutenticacao","Cenário 3: Deve retornar 403 ao buscar entrevista por email do candidato sem autenticação",""
"broken","Mon Sep 30 14:07:01 GMT 2024","Mon Sep 30 14:07:02 GMT 2024","467","","Endpoint de listagem de inscrição por id","","br.com.dbccompany.vemser.tests.inscricao.ListarInscricaoPorIdTest","testListarInscricaoPorIdSemAutenticacao","Cenário 2: Deve retornar 403 quando lista inscrição por id sem autenticação",""
